"vaccine","demo_group","demo_category","indicator_group","indicator_category","estimate","lower_ci","upper_ci","sample_size","month_label","start_survey","end_survey","dashboard_type","suppression_flag"
"COVID-19","Age","18-49 years","No concerns or issues","No concerns or issues",28.2534,26.063036,30.55179018,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Other","Other",1.1839,0.793144218,1.763627034,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Side effects","Concerned about mild side effects",21.1319,19.20000192,23.20237339,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Practical issues","Cost",3.2565,2.466382553,4.288490838,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Practical issues","Not eligible/unsure if eligible",2.2836,1.646971975,3.158277937,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Social processes","No provider recommendation",10.884,9.265751161,12.74520381,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Side effects","Allergic/other medical reason",2.256,1.623533067,3.127044959,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Practical issues","Could not find a vaccine",1.3177,0.892722765,1.94092447,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Practical issues","Have not gotten around to it or had time",9.1655,7.77916175,10.77004039,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Side effects","Got sick from past vaccine or know someone who did",10.7655,9.319795655,12.40472643,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Side effects","Concerned about possible serious or unknown side effects",33.2638,30.90302068,35.71178015,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Effectiveness",14.9406,13.30200906,16.74196512,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Have enough immunity",13.8782,12.15093307,15.80675663,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Vaccine fatigue",13.2413,11.51284962,15.18463835,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Do not trust government",19.933,17.93685951,22.09139527,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Not concerned about getting sick",23.4896,21.39478996,25.72244325,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Did not want to get with another vaccine",3.1754,2.366639072,4.248487886,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Do not trust pharmaceutical companies",17.157,15.19883412,19.31005212,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","18-49 years","Thinking and feeling","Vaccine is too new",17.4066,15.50308188,19.48999859,2078,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Practical issues","Could not find a vaccine",1.153,0.752462632,1.762886119,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Did not want to get with another vaccine",1.523,0.965199733,2.395309911,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Other","Other",0.8381,0.504450472,1.389368038,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Side effects","Allergic/other medical reason",2.0213,1.435629014,2.839124672,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Do not trust government",11.2576,9.703815531,13.02436477,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Do not trust pharmaceutical companies",11.5807,10.08743784,13.26232812,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Social processes","No provider recommendation",5.8677,4.712936149,7.283694287,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","No concerns or issues","No concerns or issues",43.2629,40.47616089,46.09290546,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Practical issues","Have not gotten around to it or had time",11.5723,10.06707465,13.26932763,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Practical issues","Cost",2.5243,1.876499913,3.388110561,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Practical issues","Not eligible/unsure if eligible",1.007,0.626058073,1.616082164,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Not concerned about getting sick",24.5624,22.32876729,26.94192627,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Side effects","Got sick from past vaccine or know someone who did",8.1599,6.791192246,9.775439306,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Side effects","Concerned about mild side effects",14.272,12.3704622,16.41110961,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Side effects","Concerned about possible serious or unknown side effects",14.9306,13.25606187,16.77582079,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Effectiveness",11.8105,10.2167084,13.61511576,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Have enough immunity",7.8829,6.529456831,9.488408086,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","18-49 years","Thinking and feeling","Vaccine fatigue",7.6277,6.312525539,9.189933037,2076,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Practical issues","Not eligible/unsure if eligible",1.1697,0.588671035,2.310765874,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Side effects","Allergic/other medical reason",2.2311,1.238152271,3.988331348,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Side effects","Concerned about mild side effects",17.3188,14.57907978,20.45016624,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Vaccine is too new",14.8322,12.31667287,17.75747029,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Do not trust government",18.9142,16.3214604,21.8115004,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Not concerned about getting sick",21.6869,18.96201223,24.68398164,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Did not want to get with another vaccine",3.2061,2.236611329,4.576117429,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Do not trust pharmaceutical companies",16.0623,13.67541341,18.7751796,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Practical issues","Cost",1.4813,0.928165102,2.356278605,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Practical issues","Could not find a vaccine",0.436,0.216924227,0.874424647,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Practical issues","Have not gotten around to it or had time",3.9995,2.816292455,5.65094833,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Side effects","Got sick from past vaccine or know someone who did",9.274,7.232383205,11.81854595,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Side effects","Concerned about possible serious or unknown side effects",32.892,29.57467637,36.38914811,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Effectiveness",14.7247,12.31874884,17.50669579,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Have enough immunity",13.2076,11.01550128,15.75863996,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Thinking and feeling","Vaccine fatigue",10.662,8.579386641,13.17722991,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Social processes","No provider recommendation",15.4376,12.95278125,18.2989586,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","Other","Other",2.1311,1.404660735,3.22086683,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","50-64 years","No concerns or issues","No concerns or issues",30.3084,26.95537591,33.88497927,1079,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Practical issues","Not eligible/unsure if eligible",0.6486,0.278006452,1.505622652,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Side effects","Allergic/other medical reason",2.2941,1.320389684,3.957002787,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Effectiveness",10.8209,8.759239591,13.29699739,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Have enough immunity",4.061,2.945984858,5.573729152,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Practical issues","Have not gotten around to it or had time",5.7682,4.301637813,7.694466659,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Vaccine fatigue",6.3545,4.890571924,8.218840643,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Do not trust government",11.4751,9.493142262,13.80776003,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Not concerned about getting sick",21.0951,18.60507142,23.82091302,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Do not trust pharmaceutical companies",12.0358,9.951399835,14.48655837,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Practical issues","Could not find a vaccine",0.3723,0.126510072,1.090637194,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Thinking and feeling","Did not want to get with another vaccine",1.628,0.926071157,2.846758652,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Practical issues","Cost",1.0907,0.611505642,1.938252326,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Side effects","Got sick from past vaccine or know someone who did",7.9208,6.166281458,10.12077148,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Side effects","Concerned about mild side effects",14.0898,11.61171209,16.99517146,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
